Bariosincosite,Ba(V++++O)2(PO4)2*4(H2O)
Bariosincosite,Ba(V++++O)2(PO4)2*4(H2O)
Barite,BaSO4
Barium-alumopharmacosiderite,BaAl4(AsO4)3(OH)5*5(H2O)
Barium-pharmacosiderite,BaFe+++4(AsO4)3(OH)5*5(H2O)
Barium-pharmacosiderite,BaFe+++4(AsO4)3(OH)5*5(H2O)
Barium-zinc-alumopharmacosiderite,"(Ba,K)0.5(Zn,Cu)0.5(Al,Fe)4(AsO4)3*5(H2O)"
Barium-zinc-alumopharmacosiderite,"(Ba,K)0.5(Zn,Cu)0.5(Al,Fe)4(AsO4)3*5(H2O)"
Barnesite,Na2V6O16*3(H2O)
Barquillite,Cu2CdGeS4
Barrerite,"(Na,K,Ca)2Al2Si7O18*6(H2O)"
Barrerite,"(Na,K,Ca)2Al2Si7O18*6(H2O)"
Barringerite,"(Fe,Ni)2P"
Barringtonite,MgCO3*2(H2O)
Barringtonite,MgCO3*2(H2O)
Barringtonite,MgCO3*2(H2O)
Barringtonite,MgCO3*2(H2O)
Barstowite,Pb4(CO3)Cl6*(H2O)
Bartelkeite,PbFe++Ge3O8
Bartelkeite,PbFe++Ge3O8
Bartonite,K3Fe10S14
Barylite,BaBe2Si2O7
Barylite,BaBe2Si2O7
Barysilite,Pb8Mn(Si2O7)3
Barysilite,Pb8Mn(Si2O7)3
Barytocalcite,BaCa(CO3)2
Barytolamprophyllite,"Ba2Na3(Fe+++,Ti)3(Si2O7)2(O,OH,F)4"
Barytolamprophyllite,"Ba2Na3(Fe+++,Ti)3(Si2O7)2(O,OH,F)4"
Basaluminite,Al4(SO4)(OH)10*5(H2O)
Bassanite,2CaSO4*(H2O)
Bassetite,Fe++(UO2)2(PO4)2*8(H2O)
Bastnasite-(Ce),Ce(CO3)F
Bastnasite-(La),La(CO3)F
Bastnasite-(Y),Y(CO3)F
Bastnasite-(Y),Y(CO3)F
Batiferrite,Ba(Ti2Fe+++8Fe++2)O19
Batisite,BaNaNaTi2O2[Si4O12]
Batisite,BaNaNaTi2O2[Si4O12]
Baumhauerite,Pb3As4S9
Baumstarkite,"Ag3(Sb,As)2SbS6"
Bauranoite,BaU2O7*4-5(H2O)
Bavenite,Ca4Be2Al2Si9O26(OH)2
Bayankhanite,Cu6HgS4
Bayerite,Al(OH)3
Bayldonite,"(Cu,Zn)3Pb(AsO3OH)2(OH)2"
Bayleyite,Mg2(UO2)(CO3)3*18(H2O)
Baylissite,K2Mg(CO3)2*4(H2O)
Bazhenovite,CaS5*CaS2O3*6Ca(OH)2*20(H2O)
Bazhenovite,CaS5*CaS2O3*6Ca(OH)2*20(H2O)
Bazirite,BaZrSi3O9
Bazirite,BaZrSi3O9
Bazzite,"Be3(Sc,Al)2Si6O18"
Bazzite,"Be3(Sc,Al)2Si6O18"
Bearsite,Be2(AsO4)(OH)*4(H2O)
Bearthite,Ca2Al(PO4)2(OH)
Beaverite,"PbCu++(Fe+++,Al)2(SO4)2(OH)6"
Bechererite,"(Zn,Cu)6Zn2(OH)13[(S,Si)(O,OH)4]2"
Becquerelite,Ca(UO2)6O4(OH)6*8(H2O)
Bederite,"([ ],Na)Ca2(Mn++,Mg,Fe++)2(Fe+++,Mg++,Al)2Mn++2(PO4)6*2(H2O)"
Behierite,"(Ta,Nb)BO4"
Behierite,"(Ta,Nb)BO4"
Behoite,Be(OH)2
Beidellite,Na0.5Al2(Si3.5Al0.5)O10(OH)2*n(H2O)
Beidellite,Na0.5Al2(Si3.5Al0.5)O10(OH)2*n(H2O)
Beidellite,Na0.5Al2(Si3.5Al0.5)O10(OH)2*n(H2O)
Beidellite,Na0.5Al2(Si3.5Al0.5)O10(OH)2*n(H2O)
Belendorffite,Cu7Hg6
Belendorffite,Cu7Hg6
Belendorffite,Cu7Hg6
Belendorffite,Cu7Hg6
Belkovite,"Ba3(Nb,Ti)6(Si2O7)2O12"
Bellbergite,"(K,Ba,Sr)2Sr2Ca2(Ca,Na)4Al18Si18O72*30(H2O)"
Bellidoite,Cu2Se
Bellingerite,Cu++3(IO3)6*2(H2O)
Bellingerite,Cu++3(IO3)6*2(H2O)
Belloite,Cu(OH)Cl
Belloite,Cu(OH)Cl
Belovite-(Ce),"(Sr,Ce,Na,Ca)5(PO4)3(OH)"
Belovite-(Ce),"(Sr,Ce,Na,Ca)5(PO4)3(OH)"
Belovite-(La),"(Sr,La,Ce,Ca)5(PO4)3(F,OH)"
Belovite-(La),"(Sr,La,Ce,Ca)5(PO4)3(F,OH)"
Belyankinite,"Ca1-2(Ti,Zr,Nb)5O12*9(H2O) (?)"
