Ammonioleucite,3.300,0.800,2
Ammonioleucite,5.530,0.500,3
Amstallite,9.750,1.000,1
Amstallite,3.603,1.000,2
Amstallite,3.816,0.900,3
Amstallite,5.430,0.700,4
Amstallite,3.175,0.600,5
Amstallite,4.714,0.600,6
Amstallite,4.069,0.400,7
Analcime,3.430,1.000,1
Analcime,2.925,0.800,2
Analcime,5.610,0.800,3
Anandite,3.320,1.000,1
Anandite,4.990,0.900,2
Anandite,2.490,0.800,3
Anandite,2.720,0.500,4
Anandite,2.680,0.400,5
Anandite,1.660,0.300,6
Anandite,1.991,0.300,7
Anapaite,3.135,1.000,1
Anapaite,2.866,0.700,2
Anapaite,3.720,0.600,3
Anatase,3.510,1.000,1
Anatase,1.891,0.330,2
Anatase,2.379,0.220,3
Ancylite-(Ce),2.960,1.000,1
Ancylite-(Ce),3.710,1.000,2
Ancylite-(Ce),4.340,1.000,3
Ancylite-(La),2.955,1.000,1
Ancylite-(La),4.360,0.920,2
Ancylite-(La),3.705,0.900,3
Andalusite,5.540,1.000,1
Andalusite,2.770,0.900,2
Andalusite,4.530,0.900,3
Andersonite,5.670,1.000,1
Andersonite,7.930,1.000,2
Andersonite,13.000,1.000,3
Andesine,3.210,1.000,1
Andesine,3.180,0.900,2
Andesine,4.040,0.800,3
Andorite,3.300,1.000,1
Andorite,2.900,0.800,2
Andorite,3.450,0.400,3
Andradite,2.696,1.000,1
Andradite,1.611,0.600,2
Andradite,3.015,0.600,3
Andremeyerite,3.055,1.000,1
Andremeyerite,3.122,0.800,2
Andremeyerite,3.288,0.600,3
Andreyivanovite,2.217,1.000,1
Andreyivanovite,2.139,0.810,2
Andreyivanovite,2.258,0.460,3
Andreyivanovite,1.785,0.430,4
Andreyivanovite,1.885,0.340,5
Andreyivanovite,1.866,0.310,6
Andreyivanovite,2.074,0.310,7
Andreyivanovite,1.298,0.220,8
Anduoite,1.920,1.000,1
Anduoite,1.095,0.900,2
Anduoite,1.501,0.900,3
Andyrobertsite,9.640,1.000,1
Andyrobertsite,3.145,0.500,2
Andyrobertsite,4.460,0.400,3
Angastonite,13.380,1.000,1
Angastonite,11.050,0.250,2
Angastonite,5.730,0.230,3
Angastonite,8.010,0.210,4
Angelaite,3.670,1.000,1
Angelaite,3.017,0.720,2
Angelaite,3.022,0.720,3
Angelaite,3.111,0.690,4
Angelaite,3.660,0.640,5
Angelaite,3.317,0.620,6
Angelaite,3.319,0.620,7
Angelaite,3.410,0.600,8
Angelellite,3.152,1.000,1
Angelellite,2.997,0.700,2
Angelellite,2.856,0.500,3
Anglesite,3.001,1.000,1
Anglesite,4.260,0.870,2
Anglesite,3.333,0.860,3
Anhydrite,3.490,1.000,1
Anhydrite,2.849,0.350,2
Anhydrite,2.328,0.200,3
Anilite,1.960,1.000,1
Anilite,2.770,0.650,2
Anilite,3.200,0.570,3
Ankangite,3.202,1.000,1
Ankangite,1.589,0.700,2
Ankangite,2.476,0.700,3
Ankerite,2.899,1.000,1
Ankerite,1.812,0.060,2
Ankerite,2.199,0.060,3
Ankinovichite,7.830,1.000,1
Ankinovichite,8.890,1.000,2
Ankinovichite,1.481,0.800,3
Ankinovichite,1.904,0.700,4
Ankinovichite,1.605,0.500,5
Ankinovichite,3.266,0.500,6
Ankinovichite,1.980,0.400,7
Ankinovichite,3.354,0.400,8
Annabergite,6.580,1.000,1
Annabergite,2.980,0.300,2
Annabergite,3.180,0.260,3
Annite,10.300,1.000,1
Annite,3.380,0.800,2
Annite,2.650,0.700,3
Anorthite,3.200,1.000,1
Anorthite,3.180,0.750,2
Anorthite,4.040,0.600,3
Anorthoclase,3.211,1.000,1
Anorthoclase,3.243,0.900,2
Anorthoclase,4.106,0.160,3
Anorthominasragrite,6.617,1.000,1
Anorthominasragrite,3.712,0.800,2
Anorthominasragrite,4.116,0.800,3
Anorthominasragrite,7.053,0.800,4
Anorthominasragrite,3.206,0.700,5
Anorthominasragrite,2.934,0.500,6
Anorthominasragrite,5.314,0.300,7
Ansermetite,7.805,1.000,1
Ansermetite,3.031,0.700,2
Ansermetite,3.903,0.300,3
Ansermetite,4.500,0.300,4
Ansermetite,5.064,0.200,5
Ansermetite,5.690,0.200,6
Antarcticite,2.160,1.000,1
Antarcticite,3.930,0.750,2
Antarcticite,2.780,0.630,3
Anthoinite,3.052,1.000,1
Anthoinite,3.070,1.000,2
Anthoinite,4.195,1.000,3
Anthonyite,5.840,1.000,1
Anthonyite,4.140,0.700,2
Anthonyite,3.990,0.600,3
Anthophyllite,3.050,1.000,1
Anthophyllite,3.240,0.600,2
Anthophyllite,8.260,0.550,3
Antigorite,2.530,1.000,1
Antigorite,7.290,1.000,2
Antigorite,3.610,0.800,3
Antimonpearceite,3.000,1.000,1
Antimonpearceite,2.840,0.900,2
Antimonpearceite,3.110,0.500,3
Antimonselite,2.870,1.000,1
Antimonselite,3.700,0.700,2
Antimonselite,2.625,0.600,3
Antimony,3.109,1.000,1
Antimony,2.248,0.700,2
Antimony,1.368,0.670,3
Antlerite,4.860,1.000,1
Antlerite,2.566,0.850,2
Antlerite,3.600,0.750,3
Anyuiite,5.220,1.000,1
Anyuiite,2.230,0.500,2
Anyuiite,3.740,0.400,3
Apachite,12.900,1.000,1
Apachite,3.168,0.700,2
Apachite,7.663,0.500,3
Apatite-(CaCl),2.779,1.000,1
Apatite-(CaCl),2.861,0.600,2
Apatite-(CaCl),1.836,0.200,3
Apatite-(CaF),2.800,1.000,1
Apatite-(CaF),2.702,0.600,2
Apatite-(CaF),2.772,0.550,3
Apatite-(CaOH),2.814,1.000,1
Apatite-(CaOH),2.720,0.600,2
Apatite-(CaOH),2.778,0.600,3
Apatite-(CaOH)-M,2.267,1.000,1
Apatite-(CaOH)-M,2.724,0.790,2
Apatite-(CaOH)-M,1.784,0.700,3
Apatite-(CaOH)-M,2.817,0.660,4
Apatite-(CaOH)-M,1.841,0.580,5
Apatite-(CaOH)-M,2.781,0.410,6
Apatite-(CaOH)-M,1.945,0.390,7
Apatite-(CaOH)-M,2.630,0.240,8
Apatite-(CaOH)-M,3.440,0.200,9
Apatite-(CaOH)-M,1.454,0.190,10
Apatite-(CaOH)-M,2.499,0.180,11
Apatite-(CaOH)-M,1.892,0.150,12
Apatite-(SrOH),2.890,1.000,1
Apatite-(SrOH),2.780,0.700,2
Apatite-(SrOH),3.167,0.700,3
Aphthitalite,2.850,1.000,1
Aphthitalite,2.090,0.900,2
Aphthitalite,2.970,0.900,3
Apjohnite,3.520,1.000,1
Apjohnite,4.820,0.900,2
Apjohnite,3.790,0.350,3
Aplowite,4.460,1.000,1
Aplowite,5.440,0.900,2
Aplowite,3.950,0.800,3
Apophyllite-(KF),7.810,1.000,1
Apophyllite-(KF),2.490,0.900,2
Apophyllite-(KF),3.570,0.600,3
Apophyllite-(KF),2.950,0.500,4
Apophyllite-(KF),3.900,0.500,5
Apophyllite-(KF),4.510,0.450,6
Apophyllite-(KF),3.170,0.400,7
Apophyllite-(KOH),3.965,1.000,1
Apophyllite-(KOH),2.990,0.670,2
Apophyllite-(KOH),1.588,0.260,3
Apophyllite-(NaF),3.960,1.000,1
Apophyllite-(NaF),2.980,0.630,2
Apophyllite-(NaF),7.830,0.200,3
Apuanite,3.168,1.000,1
Apuanite,1.922,0.470,2
Apuanite,2.957,0.430,3
Aqualite,2.987,1.000,1
Aqualite,4.390,1.000,2
Aqualite,2.850,0.790,3
Aqualite,10.500,0.440,4
Aqualite,6.630,0.430,5
Aqualite,7.060,0.420,6
Aqualite,3.624,0.410,7
Aqualite,11.430,0.390,8
Aragonite,3.396,1.000,1
Aragonite,1.977,0.650,2
Aragonite,3.273,0.520,3
Arakiite,12.070,1.000,1
Arakiite,6.046,1.000,2
Arakiite,4.040,0.900,3
Arakiite,1.552,0.700,4
Arakiite,3.030,0.700,5
Arakiite,2.411,0.400,6
Arakiite,3.148,0.300,7
Aramayoite,2.820,1.000,1
Aramayoite,3.220,0.400,2
Aramayoite,1.940,0.300,3
Arapovite,3.370,1.000,1
Arapovite,2.640,0.640,2
Arapovite,3.310,0.580,3
Arapovite,2.161,0.450,4
Arapovite,5.280,0.380,5
Arapovite,1.644,0.300,6
Arapovite,2.016,0.290,7
Arapovite,5.340,0.230,8
Arapovite,1.821,0.210,9
Arapovite,2.515,0.210,10
Arapovite,1.618,0.180,11
Arapovite,1.689,0.160,12
Arapovite,2.493,0.150,13
Arapovite,2.672,0.150,14
Arapovite,7.570,0.140,15
Aravaipaite,12.493,1.000,1
Aravaipaite,3.236,0.890,2
Aravaipaite,3.123,0.540,3
Aravaipaite,3.080,0.470,4
Aravaipaite,3.334,0.460,5
Aravaipaite,2.903,0.460,6
Aravaipaite,3.490,0.460,7
Aravaipaite,2.036,0.400,8
Aravaipaite,2.833,0.400,9
Arcanite,2.903,1.000,1
Arcanite,3.001,0.710,2
Arcanite,2.886,0.530,3
Archerite,3.720,1.000,1
Archerite,2.910,0.800,2
Archerite,1.950,0.500,3
Arctite,2.746,1.000,1
Arctite,3.430,0.320,2
Arctite,13.800,0.250,3
Ardaite,2.000,1.000,1
Ardaite,3.380,1.000,2
Ardaite,3.400,1.000,3
Ardealite,7.740,1.000,1
Ardealite,3.930,0.500,2
Ardealite,3.340,0.450,3
Ardennite-(As),2.574,1.000,1
Ardennite-(As),2.911,0.700,2
Ardennite-(As),4.210,0.600,3
Ardennite-(V),2.609,1.000,1
Ardennite-(V),2.948,0.900,2
Ardennite-(V),1.585,0.750,3
Ardennite-(V),2.033,0.550,4
Ardennite-(V),1.477,0.450,5
Ardennite-(V),1.525,0.390,6
Ardennite-(V),2.329,0.380,7
Ardennite-(V),2.271,0.370,8
Arfvedsonite,3.161,1.000,1
Arfvedsonite,2.732,0.800,2
Arfvedsonite,8.510,0.700,3
Argentite,1.819,1.000,1
Argentite,2.240,1.000,2
Argentite,3.170,1.000,3
Argentojarosite,3.060,1.000,1
Argentojarosite,5.980,0.500,2
Argentojarosite,3.680,0.300,3
Argentopentlandite,1.858,1.000,1
Argentopentlandite,3.170,1.000,2
Argentopentlandite,2.018,0.400,3
Argentopyrite,3.318,1.000,1
Argentopyrite,3.341,1.000,2
Argentopyrite,1.808,0.700,3
Argentotennantite,3.060,1.000,1
Argentotennantite,1.869,0.800,2
Argentotennantite,1.595,0.400,3
Argutite,3.110,1.000,1
Argutite,2.400,0.600,2
Argutite,1.620,0.500,3
Argyrodite,3.050,1.000,1
Argyrodite,2.700,0.600,2
Argyrodite,3.080,0.400,3
Arhbarite,4.570,1.000,1
Arhbarite,4.510,0.900,2
Arhbarite,3.720,0.600,3
Arhbarite,2.470,0.500,4
Arhbarite,2.600,0.500,5
Arhbarite,2.630,0.400,6
Arhbarite,3.250,0.400,7
Aristarainite,7.740,1.000,1
Aristarainite,2.579,0.190,2
Aristarainite,3.037,0.130,3
Armalcolite,3.468,1.000,1
Armalcolite,1.958,0.800,2
Armalcolite,2.763,0.250,3
Armangite,2.774,1.000,1
Armangite,2.952,0.550,2
Armangite,2.924,0.380,3
Armbrusterite,12.280,1.000,1
Armbrusterite,3.077,0.540,2
Armbrusterite,3.260,0.180,3
Armbrusterite,3.117,0.130,4
Armbrusterite,2.622,0.100,5
Armbrusterite,3.562,0.100,6
Armbrusterite,4.100,0.100,7
Armenite,3.400,1.000,1
Armenite,3.860,0.980,2
Armenite,2.910,0.740,3
Armstrongite,3.050,1.000,1
Armstrongite,4.260,1.000,2
Armstrongite,6.600,0.900,3
Arnhemite,16.700,1.000,1
Arnhemite,2.761,0.250,2
Arnhemite,8.330,0.150,3
Arnhemite,2.300,0.100,4
Arnhemite,2.216,0.050,5
Arnhemite,4.616,0.050,6
Arnhemite,3.184,0.050,7
Arrojadite,3.042,1.000,1
Arrojadite,2.714,0.850,2
Arrojadite,3.222,0.450,3
Arrojadite-(BaFe),3.010,1.000,1
Arrojadite-(BaFe),3.181,0.510,2
Arrojadite-(BaFe),2.678,0.420,3
